x0_1.0,x0_2.0,x0_10.0,x0_15.0,x0_17.0,x0_19.0,x0_20.0,x0_22.0,x0_23.0,x0_24.0,x0_25.0,x0_26.0,x0_27.0,x0_28.0,x0_29.0,x0_43.0,x1_0.0,x1_1.0,x2_0.0,x2_1.0,x3_0.0,x3_1.0,views,likes,dislikes,view_log,like_rate,dislike_rate,interaction_rate,total_trending_days
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.164786024336855,-0.23657256208676045,-0.08560316941388885,0.3223429057094336,-0.7644789976266971,-0.3111722954705783,-0.8767030299950098,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.19829762140819351,-0.26413815788682343,-0.09429449285325853,0.13318350200205653,-0.9327161239509577,-0.38085071253510366,-1.0357711682602428,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.013407272043665392,-0.07421718637437594,-0.07784975857589,0.8322353137638069,-0.5584698314083572,-0.3404272917121252,-0.697025090153108,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.24537627906647216,-0.2470901986579297,-0.08935481981937216,-0.34757892984973165,-0.0019325793996984922,-0.1934954870859623,-0.09932556462397686,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.26807283611902694,-0.28461118365973703,-0.09513861419449228,-0.9844640090504815,-0.9717449019741778,-0.319114629037181,-1.0533525919230533,
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.06043451786177931,-0.07541389637168407,-0.04464765248736263,0.9129505236945796,-0.6102132484720636,-0.25236920389802636,-0.7498731825811794,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.23683426555678938,-0.26744458507766183,-0.07713069224817236,-0.2225337006743851,-0.6693072242671826,0.10875991535875831,0.09023940272438419,
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.13136960290350735,-0.22000947673608637,-0.08400871799155843,0.4617885124857435,-0.735988636396167,-0.3176906304294272,-0.8428754641034548,
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.06539441494874526,0.3803933403185418,-0.04839930289284595,0.9208001460868728,2.70460974720633,-0.11206430815989239,2.410626978055284,
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.27769223218555006,-0.2869633377923771,-0.09598273553572602,-2.663199128618764,-1.1218730454549113,-0.4016718205878203,-1.1823827662177977,
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.22359876176826696,-0.2662066092183776,-0.08525926812671954,-0.07251052835257674,-0.8580481383916474,-0.20806990860606572,-0.7860026417948187,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.2252869962992959,-0.24226209280672106,-0.08554064190713079,-0.08948129882908906,-0.3526881424836788,-0.20220105758190432,-0.42725910227693,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.24044739904010146,-0.23180635502851604,-0.08382113547128427,-0.2719396969314062,0.03524957190249495,-0.0794544460501982,-0.049717946531627095,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.2161450363572777,-0.029552049017949018,-0.07641162592045471,-0.0033719336123950814,2.5965104020495953,-0.05504382381655578,2.0199551318350784,
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.11266716514705558,0.41082175529319964,-0.03605012030813003,0.5265244919519778,4.062037180779137,-0.029810130254766594,3.5199399686522463,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.07540264537410586,-0.1338411986971544,-0.06650101609930295,0.636149576208399,-0.3402055390519178,-0.24198225063630188,-0.37002365053005243,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.19407547714607068,-0.1565219480857916,-0.0762865709069386,0.16099659322598064,0.2535092565611047,-0.15282172420614512,0.1191554283428134,
